Fecha,cobre
2014-01-05,3.406
2014-01-12,3.387
2014-01-19,3.378
2014-01-26,3.304
2014-02-02,3.22
2014-02-09,3.271
2014-02-16,3.321
2014-02-23,3.336
2014-03-02,3.239
2014-03-09,3.156
2014-03-16,3.013
2014-03-23,2.994
2014-03-30,3.059
2014-04-06,3.043
2014-04-13,3.066
2014-04-20,3.07
2014-04-27,3.127
2014-05-04,3.082
2014-05-11,3.1
2014-05-18,3.161
2014-05-25,3.18
2014-06-01,3.136
2014-06-08,3.053
2014-06-15,3.03
2014-06-22,3.118
2014-06-29,3.149
2014-07-06,3.265
2014-07-13,3.259
2014-07-20,3.174
2014-07-27,3.227
2014-08-03,3.207
2014-08-10,3.166
2014-08-17,3.097
2014-08-24,3.199
2014-08-31,3.135
2014-09-07,3.158
2014-09-14,3.102
2014-09-21,3.088
2014-09-28,3.029
2014-10-05,2.994
2014-10-12,3.032
2014-10-19,3.001
2014-10-26,3.051
2014-11-02,3.061
2014-11-09,3.053
2014-11-16,3.058
2014-11-23,3.035
2014-11-30,2.86
2014-12-07,2.925
2014-12-14,2.946
2014-12-21,2.908
2014-12-28,2.836
2015-01-04,2.838
2015-01-11,2.791
2015-01-18,2.654
2015-01-25,2.538
2015-02-01,2.528
2015-02-08,2.603
2015-02-15,2.614
2015-02-22,2.611
2015-03-01,2.716
2015-03-08,2.629
2015-03-15,2.679
2015-03-22,2.775
2015-03-29,2.775
2015-04-05,2.6195
2015-04-12,2.625
2015-04-19,2.6695
2015-04-26,2.6665
2015-05-03,2.822
2015-05-10,2.813
2015-05-17,2.821
2015-05-24,2.7225
2015-05-31,2.651
2015-06-07,2.6195
2015-06-14,2.6065
2015-06-21,2.501
2015-06-28,2.5615
2015-07-05,2.5545
2015-07-12,2.47
2015-07-19,2.4325
2015-07-26,2.343
2015-08-02,2.363
2015-08-09,2.345
2015-08-16,2.3855
2015-08-23,2.347
2015-08-30,2.384
2015-09-06,2.351
2015-09-13,2.4645
2015-09-20,2.4035
2015-09-27,2.316
2015-10-04,2.355
2015-10-11,2.431
2015-10-18,2.4195
2015-10-25,2.3715
2015-11-01,2.3475
2015-11-08,2.29
2015-11-15,2.216
2015-11-22,2.1005
2015-11-29,2.105
2015-12-06,2.127
2015-12-13,2.1565
2015-12-20,2.1555
2015-12-27,2.165
2016-01-03,2.178
2016-01-10,2.068
2016-01-17,1.994
2016-01-24,2.043
2016-01-31,2.102
2016-02-07,2.128
2016-02-14,2.0525
2016-02-21,2.111
2016-02-28,2.1515
2016-03-06,2.281
2016-03-13,2.252
2016-03-20,2.304
2016-03-27,2.255
2016-04-03,2.2025
2016-04-10,2.136
2016-04-17,2.2005
2016-04-24,2.3025
2016-05-01,2.317
2016-05-08,2.195
2016-05-15,2.122
2016-05-22,2.103
2016-05-29,2.1635
2016-06-05,2.16
2016-06-12,2.086
2016-06-19,2.104
2016-06-26,2.162
2016-07-03,2.262
2016-07-10,2.171
2016-07-17,2.274
2016-07-24,2.277
2016-07-31,2.2735
2016-08-07,2.2155
2016-08-14,2.199
2016-08-21,2.224
2016-08-28,2.1355
2016-09-04,2.13
2016-09-11,2.1415
2016-09-18,2.2085
2016-09-25,2.2535
2016-10-02,2.2605
2016-10-09,2.2175
2016-10-16,2.1655
2016-10-23,2.1465
2016-10-30,2.244
2016-11-06,2.311
2016-11-13,2.554
2016-11-20,2.5115
2016-11-27,2.7015
2016-12-04,2.6295
2016-12-11,2.6575
2016-12-18,2.579
2016-12-25,2.5
2017-01-01,2.5295
2017-01-08,2.578
2017-01-15,2.727
2017-01-22,2.6665
2017-01-29,2.7305
2017-02-05,2.6765
2017-02-12,2.832
2017-02-19,2.7825
2017-02-26,2.7595
2017-03-05,2.7625
2017-03-12,2.674
2017-03-19,2.7685
2017-03-26,2.7185
2017-04-02,2.7415
2017-04-09,2.747
2017-04-16,2.6735
2017-04-23,2.6435
2017-04-30,2.6805
2017-05-07,2.6105
2017-05-14,2.603
2017-05-21,2.653
2017-05-28,2.643
2017-06-04,2.649
2017-06-11,2.7155
2017-06-18,2.637
2017-06-25,2.6955
2017-07-02,2.7675
2017-07-09,2.7125
2017-07-16,2.765
2017-07-23,2.807
2017-07-30,2.959
2017-08-06,2.9645
2017-08-13,2.993
2017-08-20,3.0265
2017-08-27,3.1205
2017-09-03,3.1875
2017-09-10,3.114
2017-09-17,3.0285
2017-09-24,3.0235
2017-10-01,3.037
2017-10-08,3.113
2017-10-15,3.212
2017-10-22,3.242
2017-10-29,3.1875
2017-11-05,3.198
2017-11-12,3.1585
2017-11-19,3.1495
2017-11-26,3.2465
2017-12-03,3.1555
2017-12-10,3.054
2017-12-17,3.21
2017-12-24,3.3145
2017-12-31,3.384
2018-01-07,3.3275
