Fecha,Infectados
2020-02-29,1
2020-03-02,1
2020-03-05,1
2020-03-06,1
2020-03-08,2
2020-03-09,2
2020-03-10,7
2020-03-11,2
2020-03-12,1
2020-03-13,7
2020-03-14,12
2020-03-15,4
2020-03-16,12
2020-03-17,7
2020-03-18,13
2020-03-19,9
2020-03-20,10
2020-03-21,1
2020-03-22,10
2020-03-23,7
2020-03-24,7
2020-03-25,5
2020-03-26,8
2020-03-27,6
2020-03-28,4
2020-03-29,1
2020-03-30,4
2020-03-31,1
2020-04-01,6
2020-04-02,7
2020-04-03,5
2020-04-04,3
2020-04-05,3
2020-04-06,6
2020-04-07,4
2020-04-08,7
2020-04-09,4
2020-04-10,13
2020-04-11,5
2020-04-12,5
2020-04-13,3
2020-04-14,10
2020-04-15,6
2020-04-16,4
2020-04-17,2
2020-04-18,4
2020-04-19,5
2020-04-20,7
2020-04-21,7
2020-04-22,3
2020-04-23,4
2020-04-24,4
2020-04-25,5
2020-04-26,1
2020-04-27,2
2020-04-28,4
2020-04-29,3
2020-04-30,1
2020-05-01,7
2020-05-02,2
2020-05-03,3
2020-05-04,2
2020-05-05,3
2020-05-06,2
2020-05-07,10
2020-05-08,3
2020-05-09,7
2020-05-10,11
2020-05-11,14
2020-05-12,14
2020-05-13,9
2020-05-14,9
2020-05-15,14
2020-05-16,7
2020-05-17,11
2020-05-18,13
2020-05-19,13
2020-05-20,15
2020-05-21,8
2020-05-22,20
2020-05-23,12
2020-05-24,13
2020-05-25,15
2020-05-26,10
2020-05-27,14
2020-05-28,20
2020-05-29,17
2020-05-30,17
2020-05-31,19
2020-06-01,45
2020-06-02,30
2020-06-03,65
2020-06-04,43
2020-06-05,30
2020-06-06,35
2020-06-07,31
2020-06-08,40
2020-06-09,41
2020-06-10,51
2020-06-11,42
2020-06-12,52
2020-06-13,54
2020-06-14,67
2020-06-15,82
2020-06-16,138
2020-06-17,161
2020-06-18,117
2020-06-19,125
2020-06-20,150
2020-06-21,147
2020-06-22,172
2020-06-23,179
2020-06-24,221
2020-06-25,241
2020-06-26,280
2020-06-27,236
2020-06-28,261
2020-06-29,348
2020-06-30,494
2020-07-01,595
2020-07-02,458
2020-07-03,612
2020-07-04,634
2020-07-05,552
2020-07-06,888
2020-07-07,762
2020-07-08,859
2020-07-09,1064
2020-07-10,1030
2020-07-11,1002
