,China,India,United States,Indonesia,Pakistan,Brazil,Nigeria,Bangladesh,Russian Federation,Mexico,Japan,Ethiopia,Philippines,"Egypt, Arab Rep.",Vietnam,"Congo, Dem. Rep.",Germany,Thailand,France,United Kingdom,Tanzania,South Africa,Italy,Kenya,Myanmar,"Korea, Rep.",Colombia,Spain,Uganda,Argentina,Canada,Poland,Morocco,Saudi Arabia,Uzbekistan,Angola,Peru,Australia,Ecuador,Netherlands,Senegal,Guatemala,Cuba,Uruguay,Finland,Singapore,Slovak Republic,Norway,Oman,Liberia,Costa Rica,Botswana,Chile
1960-01-01,43.725,41.422,69.77073170731711,46.663999999999994,45.299,54.143,36.976,45.379,66.0552926829268,57.077,67.6660975609756,38.419000000000004,61.105,48.042,59.038999999999994,41.098,69.3100243902439,54.701,69.86829268292679,71.12682926829271,43.6,48.406000000000006,69.1239024390244,46.76,42.381,55.4155365853659,57.269,69.1092682926829,44.358999999999995,65.055,71.1331707317073,67.6804878048781,48.458,45.638000000000005,58.835,37.524,48.012,70.8170731707317,52.982,73.3926829268293,38.223,46.702,63.833999999999996,67.783,68.819756097561,65.6598292682927,69.92365853658539,73.549756097561,42.672,34.264,60.381,49.178999999999995,57.218999999999994
1961-01-01,44.051,42.027,70.27073170731711,47.276,46.196999999999996,54.63399999999999,37.431,45.97,66.5970243902439,57.668,68.31,39.082,61.50899999999999,48.608999999999995,59.72,41.312,69.508,55.233000000000004,70.1170731707317,70.87804878048779,43.858999999999995,48.777,69.760243902439,47.417,42.961000000000006,56.0149756097561,57.813,69.4804878048781,44.955,65.176,71.3460975609756,67.7780487804878,48.88,46.145,59.21,37.811,48.628,70.9731707317073,53.547,73.6526829268293,38.38,47.218999999999994,64.446,68.007,68.8441463414634,66.0871951219512,70.2508536585366,73.55048780487809,43.498999999999995,34.56,61.018,49.684,57.61600000000001
1962-01-01,44.783,42.637,70.119512195122,47.876999999999995,47.059,55.13,37.871,46.556999999999995,67.0214146341464,58.193000000000005,68.5948780487805,39.711,61.86,49.13399999999999,60.387,41.528999999999996,69.6915365853659,55.745,70.31463414634149,70.9268292682927,44.121,49.141999999999996,69.149756097561,48.058,43.567,56.5123170731707,58.32899999999999,69.5190243902439,45.558,65.26899999999999,71.3670731707317,67.4268292682927,49.306999999999995,46.665,59.589,38.113,49.224,70.9424390243903,54.098,73.32390243902441,38.461999999999996,47.75,65.066,68.19800000000001,68.5778048780488,66.432243902439,70.47229268292679,73.4480487804878,44.31100000000001,34.911,61.638000000000005,50.17100000000001,58.031000000000006
1963-01-01,45.972,43.251999999999995,69.91707317073171,48.468,47.88399999999999,55.626999999999995,38.291,47.126000000000005,67.3399024390244,58.656000000000006,69.65804878048779,40.29,62.16,49.628,61.02,41.755,69.8596097560976,56.231,70.51463414634149,70.8268292682927,44.393,49.50899999999999,69.24804878048779,48.674,44.215,56.9706097560976,58.825,69.6812195121951,46.162,65.348,71.3807317073171,68.3756097560976,49.738,47.207,59.968999999999994,38.43,49.792,70.91170731707321,54.635,73.33707317073171,38.477,48.295,65.695,68.347,69.0126829268293,66.7008048780488,70.59492682926829,73.0775609756098,45.11,35.321999999999996,62.236000000000004,50.641000000000005,58.467
1964-01-01,47.592,43.873000000000005,70.1658536585366,49.051,48.67,56.121,38.691,47.648999999999994,67.566512195122,59.068999999999996,70.1324390243903,40.81,62.411,50.101000000000006,61.581,41.995,70.0137073170732,56.692,70.66341463414629,71.62439024390241,44.681999999999995,49.888000000000005,70.3117073170732,49.261,44.907,57.44092682926829,59.308,70.399756097561,46.755,65.426,71.7763414634146,68.6292682926829,50.168,47.781000000000006,60.348,38.76,50.333999999999996,70.88097560975609,55.158,73.7041463414634,38.449,48.856,66.327,68.455,69.2209756097561,66.9102195121951,70.63278048780491,73.5958536585366,45.896,35.796,62.806999999999995,51.099,58.927
1965-01-01,49.549,44.5,70.2146341463415,49.629,49.42,56.61,39.071999999999996,48.05,67.7188536585366,59.446999999999996,70.20195121951221,41.266999999999996,62.618,50.545,61.963,42.257,70.1518292682927,57.133,70.8121951219512,71.62439024390241,44.99100000000001,50.284,70.1717073170732,49.821000000000005,45.63,57.9682926829268,59.784,70.8092682926829,47.32,65.518,71.8721951219512,69.42926829268289,50.593,48.408,60.723,39.102,50.872,70.850243902439,55.669,73.56878048780491,38.407,49.434,66.956,68.521,68.9778048780488,67.0858048780488,70.6033658536585,73.7231707317073,46.665,36.324,63.348,51.547,59.415
1966-01-01,51.696000000000005,45.136,70.2121951219512,50.208,50.13399999999999,57.091,39.442,48.236000000000004,67.812512195122,59.806999999999995,70.9865853658537,41.668,62.784,50.945,62.037,42.549,70.2714146341463,57.565,70.9609756097561,71.5731707317073,45.321000000000005,50.705,70.92609756097559,50.364,46.357,58.575170731707296,60.257,71.0551219512195,47.839,65.64,72.0043902439024,69.8268292682927,51.00899999999999,49.107,61.089,39.454,51.431999999999995,70.819512195122,56.174,73.5129268292683,38.385999999999996,50.032,67.57300000000001,68.554,69.4770731707317,67.2559512195122,70.525243902439,73.9953658536585,47.413000000000004,36.895,63.861999999999995,51.99100000000001,59.931000000000004
1967-01-01,53.847,45.778999999999996,70.5609756097561,50.788999999999994,50.812,57.563,39.809,48.176,67.86014634146339,60.165,71.2765853658537,42.026,62.915,51.292,61.766999999999996,42.868,70.374,57.998000000000005,71.1609756097561,72.12439024390241,45.668,51.148,70.9565853658537,50.902,47.055,59.241463414634104,60.729,71.25292682926829,48.297,65.796,72.2078048780488,69.4243902439024,51.413000000000004,49.888000000000005,61.442,39.813,52.038000000000004,70.8692682926829,56.676,73.80414634146341,38.424,50.646,68.171,68.567,69.6665853658537,67.44573170731711,70.4185365853659,74.0665853658537,48.141000000000005,37.491,64.358,52.435,60.474
1968-01-01,55.843,46.428000000000004,69.9512195121951,51.373999999999995,51.457,58.025,40.184,47.888000000000005,67.87434146341461,60.536,71.61121951219509,42.355,63.016999999999996,51.592,61.18600000000001,43.208,70.4650975609756,58.442,71.30975609756099,71.7243902439025,46.028,51.615,70.78,51.446000000000005,47.698,59.944609756097606,61.201,71.5378048780488,48.687,65.98899999999999,72.3534146341463,70.21951219512201,51.808,50.751000000000005,61.778999999999996,40.178000000000004,52.702,70.9190243902439,57.181000000000004,73.6126829268293,38.558,51.266999999999996,68.744,68.575,69.6163414634146,67.6737317073171,70.3068292682927,73.9419512195122,48.858000000000004,38.099000000000004,64.847,52.885,61.044
1969-01-01,57.603,47.081,70.5073170731708,51.963,52.07,58.475,40.569,47.431999999999995,67.8671219512195,60.931999999999995,71.83878048780491,42.659,63.097,51.865,60.383,43.563,70.5506829268293,58.903999999999996,71.4585365853659,71.7219512195122,46.398999999999994,52.106,70.81195121951221,51.998000000000005,48.278999999999996,60.675024390243905,61.675,71.0575609756098,49.005,66.219,72.50146341463409,69.71951219512201,52.195,51.692,62.097,40.546,53.42,70.9687804878049,57.69,73.539512195122,38.816,51.888999999999996,69.29,68.58800000000001,69.5034146341464,67.9510731707317,70.2057073170732,73.66341463414629,49.574,38.714,65.339,53.346000000000004,61.637
