Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afghanistan;Green GDP;1717036301;1795536872;1561327357;1686258866;2094746517;2284022011;2461112612;2852808840;3212597923;3576738043;3521153497;3374033856;3519242864;3301257448;3310596225;3440362239;3448153714;3506865867;3513260128;3521394737;3517656837;3647429649;3673694888;3690183297;3790875181;3826271991;3779762464;3706221025;3690490022;3702321760;3790660230;3934256604;4011665451;4467224488;5180098584;6155149708;6913279914;9680403793;10016408732;12314426177;15691923434;17581289539;19782608033;20376363844;20302101495;19722635339;19168699574;19991931285;19292830747;18950687497
Albania;Green GDP;885627482,2;972449885,2;1101610623;1126395844;1164338917;1213532246;1226198606;1303331633;1342062025;1336835670;1380669495;1393753530;1441562829;1458949239;1438970970;1471681702;1804520231;1730117614;1721593653;1845037321;1729698591;891233420;481434459,1;1071626266;1774606260;2286575142;3092209375;2160244406;2456343943;3106815576;3365963391;3804061783;4236841730;5477441105;7046987550;7896662413;8729685719;10481124914;12684520457;11861712998;11667199347;12502229722;11913205695;12321967248;12025347490;11124713253;11674314711;12781635687;14897116464;15092126721
Algeria;Green GDP;4400092300;4619771277;5964135460;7573383798;10536881868;12750447934;14105461922;17111953528;21957408620;23997030836;33052480449;36567698381;38790395431;42993974745;47504965170;51642712089;59811615503;61444930814;54032874537;48494427778;53717040538;39401317446;41655559441;44594520020;37093292201;35707267490;39902892027;41613212591;43322478957;42576715953;45453440316;46109797782;47272033249;56128506918;71213234746;80522757453;89221644805;1,058E+11;1,34959E+11;1,10734E+11;1,31456E+11;1,63548E+11;1,68091E+11;1,69523E+11;1,78231E+11;1,44229E+11;1,44654E+11;1,50611E+11;1,5786E+11;1,54723E+11
Angola;Green GDP;2989224189;3212804420;3506954543;3641346857;3706749782;3973729362;4061558149;4378814160;4581152892;4659398729;5314966157;4890969815;4846697595;5023814119;5299009387;6587446191;6353217421;6634231609;7272314535;8137745498;8467395658;8712755484;5583996673;3628318980;2510056011;3315899825;4984314880;5194635956;5199226004;3895765425;6041962082;6563136712;12941443970;15303569469;18132156303;26980946943;38666378834;43558084305;53313418351;50255259499;57663777148;83473203151;95953792204;1,04299E+11;1,18576E+11;1,04504E+11;91097202930;1,0836E+11;90993013486;84347467738
Argentina;Green GDP;30556748588;32158141207;33565905726;51282380448;70498498800;50197811781;48872485594;54692853094;55848098449;65075334228;71786278219;74165974472;81137225677;1,00555E+11;74992659997;84950481327;1,08778E+11;1,081E+11;1,23354E+11;72489697855;1,37764E+11;1,87138E+11;2,25448E+11;2,33102E+11;2,53781E+11;2,53831E+11;2,66858E+11;2,87665E+11;2,95292E+11;2,7861E+11;2,7703E+11;2,62938E+11;88979943505;1,20173E+11;1,57019E+11;1,88032E+11;2,19929E+11;2,75269E+11;3,46506E+11;3,2256E+11;4,10914E+11;5,13971E+11;5,28639E+11;5,3503E+11;5,11395E+11;5,86816E+11;5,50631E+11;6,34312E+11;5,12304E+11;4,42326E+11
Armenia;Green GDP;931631720,8;970859262;972738525,7;1024296690;1113419787;1230721609;1256891086;1303420021;1309549280;1348595733;1412442201;1640596350;1742590821;1811197934;1932583345;1938011984;1952784393;1963534135;2001489127;2097210845;2201270800;2005378390;1196888225;1162442232;1275195783;1420327082;1559504201;1595435283;1849209247;1805125041;1866886140;2073306559;2331446810;2757218132;3514804744;4828622291;6282053918;9100339038;11520371572;8504357416;9049421311;9837311060;10291850051;10835036182;11318325713;10248453255;10223404602;11118659884;12049820170;13150114618
Aruba;Green GDP;196591217,6;199406036,1;213726545;243561202,4;252883117,8;262872727,7;261779010,7;244109415,7;273637727,5;288361496,4;294539229,4;313929621,3;335184126;349525244,4;363932882,5;393816664,8;403293763;482471806,5;589471988,1;687954113,6;759334383,8;866105714,9;952326640,2;1075638617;1238173998;1312427198;1371699380;1523301568;1655915915;1713564807;1846822408;1893132565;1914010661;1992498699;2199131246;2300204740;2394064664;2583354661;2715295430;2469218960;2362156186;2521401313;2519044239;2691443510;2754979619;2908943150;2955441721;3045806405;3114311249;3204967132
Australia;Green GDP;39402319894;43203776281;49920339121;61282218432;85534857636;93536923715;1,00982E+11;1,05808E+11;1,14012E+11;1,28208E+11;1,42571E+11;1,7028E+11;1,88306E+11;1,71014E+11;1,86658E+11;1,72658E+11;1,76536E+11;1,82472E+11;2,29497E+11;2,92681E+11;3,0184E+11;3,18619E+11;3,18213E+11;3,05036E+11;3,15378E+11;3,60273E+11;3,92378E+11;4,26912E+11;3,92233E+11;3,81372E+11;4,04316E+11;3,68863E+11;3,85577E+11;4,57657E+11;6,00979E+11;6,73605E+11;7,19115E+11;8,17491E+11;1,01054E+12;8,96998E+11;1,10753E+12;1,34889E+12;1,49894E+12;1,52955E+12;1,41867E+12;1,31656E+12;1,1693E+12;1,28694E+12;1,39301E+12;1,34772E+12
Austria;Green GDP;14763498077;17233390748;21382330349;28777596753;34395484230;39299435352;42150816493;50749371194;61223123181;72941824987;81097616607;70108613831;70458170621;71244788452;67042596788;68410788264;98104645587;1,23039E+11;1,32337E+11;1,32124E+11;1,65398E+11;1,72737E+11;1,9408E+11;1,89394E+11;2,02529E+11;2,39961E+11;2,36105E+11;2,1167E+11;2,17122E+11;2,16126E+11;1,95606E+11;1,96122E+11;2,12133E+11;2,60393E+11;2,99489E+11;3,14462E+11;3,34306E+11;3,8687E+11;4,28242E+11;3,98252E+11;3,89729E+11;4,28759E+11;4,07053E+11;4,27815E+11;4,39871E+11;3,80032E+11;3,93499E+11;4,16503E+11;4,53652E+11;4,45169E+11
Azerbaijan;Green GDP;2755463406;3114943550;3164127534;3507328229;3654112931;3942903103;4031558679;4467392598;4587823721;5387505306;5612564354;5954361319;6144267544;6303537573;6412937266;6651530106;6763426311;6898289831;6957146127;7068677654;7741137212;7673336143;3811660136;2902541603;2337143898;2150382100;2476752186;3307150237;3971772127;3685918690;3608090630;4296857666;5350278757;6279569103;7430460301;10669376958;16055548067;25689967424;38130426089;35020163473;40971728733;52956036855;56318441373;60840061390;63622760397;46679690685;32638754334;35024822878;41808266043;42656966446
Bahrain;Green GDP;1583201381;1579068016;1633594161;19695120023;1966154172;2051237322;2318999685;2464870145;2456723655;2505002823;2493683475;2999893594;3256288649;3324891750;3500225262;3231736206;2714107742;2988946580;3324540099;3415683640;3616507489;4256691803;4383171259;4758045544;5172050381;5454998772;5667820715;5868015242;5781272362;6172812544;8476450753;8412901801;9010869759;10429372218;12395440132;14908303216;17218422164;20226178434;23825831394;21412857601;24141809568;26734407011;28053876913;29384437243;30189091274;29318640779;30977525836;34048124825;36209769807;37127597042
Bangladesh;Green GDP;8651318597;8442613787;6179477265;7963586942;12386345210;19280153408;9924360118;9253222536;12969409322;15361752148;17894696820;20013885543;18216753290;17364097000;18685148364;22061442335;21490318162;24012304179;26263885183;28470714672;31255966999;30602701030;31336306899;32812346875;33406128560;37514524101;46003229287;47799494746;49539080475;50778110622;52801608974;53340777493;54008487462;59422097975;64288007923;68465768905;70499815596;78280168751;90222311893;1,00909E+11;1,13498E+11;1,26183E+11;1,30663E+11;1,47592E+11;1,70364E+11;1,92595E+11;2,19252E+11;2,4731E+11;2,71216E+11;2,99112E+11
Barbados;Green GDP;191630294,7;207321584;250083717,6;280792858,6;303154875,3;392633677,7;426561645,7;484788131,7;541987681,2;659427349,4;999972384;1100926964;1150421237;1221397402;1330863846;1391712571;1528619525;1684137015;1794829650;1986498417;1989545634;1999626903;1937563736;2043195144;2135268255;2199237786;2345570292;2480116467;2796946453;2927126827;3031032360;3029505673;3082419395;3183791736;3416485151;3787014792;4180666176;4636308036;4737489411;4431740355;4490821610;4609956295;4564330148;4632612819;4657144076;4688124304;4804845454;4950731299;5059331468;5191540458
Belarus;Green GDP;11301951524;11545526672;12220467687;12568384657;12944209930;13018109903;13212581051;13647804082;13749669822;14068529573;14614954198;14689310470;14984292795;15520121407;15643888596;15889501832;16532779930;17332690178;17708715417;18773986413;20592384115;16961811526;15960519755;15323231496;14107874789;13182176289;13945013838;13304221658;14506664271;11372274681;11883449006;11554760907;13807825054;17008195073;22207600632;29177532822;35821937640;44128879570;59456453832;49742726211;55955882494;60274877639;64229805391;74170467337;77470323087;55399129604;46675296988;53567564321;58887346780;61883050971
