Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afghanistan;GDP (current US$);1748886596;1831108971;1595555476;1733333264;2155555498;2366666616;2555555567;2953333418;3300000109;3697940410;3641723322;3478787909;3626548751;3412587451;3425125654;3562656487;3562548574;3625124578;3625152478;3625894751;3615254781;3741521458;3754859625;3765482514;3865245178;3896584751;3845178452;3765482594;3749658215;3758964821;3847581258;3985641526;4055179566;4515558808;5226778809;6209137625;6971285595;9747879532;10109225814;12439087077;15856574731;17804292964;20001598506;20561069558;20484885120;19907111419;19362642267;20191760000;19484384937;19101353833
Albania;GDP (current US$);1027458963;1125896210;1274585214;1298560231;1336528945;1398547854;1425896366;1524526385;1594585478;1621478541;1652325478;1698547514;1758963524;1785485625;1857338012;1897050133;2097326250;2080796250;2051236250;2253090000;2028553750;1099559028;652174990,8;1185315468;1880951520;2392764853;3199642580;2258515610;2545967253;3212119044;3480355189;3922099471;4348070165;5611492283;7184681399;8052075642;8896073938;10677321490;12881354104;12044223353;11926928506;12890765324;12319830252;12776217195;13228144008;11386846319;11861200797;13019693451;15147020535;15278077447
Algeria;GDP (current US$);4863487493;5077222367;6761786387;8715105930;13209713643;15557934268;17728347375;20971901273;26364491313;33243422158;42345277342;44348672668;45207088716;48801369800;53698278906;57937868670;63696301893;66742267773;59089067187;55631489802;62045099643;45715367087;48003298223;49946455211;42542571306;41764052458;46941496780;48177862502;48187747529;48640610449;54788732394;54745839539;56760623478;67864849150;85324767230;1,03198E+11;1,17025E+11;1,34977E+11;1,71001E+11;1,37211E+11;1,61208E+11;2,00019E+11;2,0906E+11;2,09755E+11;2,13809E+11;1,65979E+11;1,60034E+11;1,67389E+11;1,73758E+11;1,69988E+11
Angola;GDP (current US$);3302510251;3541247419;3854257851;4025746931;4125745896;4412562587;4512478546;4856896587;5102568954;5214524587;5930503401;5550483036;5550483036;5784341596;6131475065;7553560459;7072063345;8083872012;8769250550;10201099040;11228764963;10603784541;8307810974;5768720422;4438321017;5538749260;7526446606;7648377413;6506229607;6152922943;9129594819;8936063723;15285594828;17812705294;23552052408;36970918699;52381006892;65266452081;88538611205;70307163678;83799496611;1,1179E+11;1,28053E+11;1,3671E+11;1,45712E+11;1,16194E+11;1,01124E+11;1,22124E+11;1,01353E+11;94635415870
Argentina;GDP (current US$);31584210366;33293199095;34733000536;52544000117;72436777342;52438647922;51169499891;56781000101;58082870156;69252328953;76961923742;78676842366;84307486837;1,03979E+11;79092001998;88416668900;1,10934E+11;1,11106E+11;1,26207E+11;76636898036;1,41352E+11;1,8972E+11;2,28789E+11;2,36742E+11;2,5744E+11;2,58032E+11;2,7215E+11;2,92859E+11;2,98948E+11;2,83523E+11;2,84204E+11;2,68697E+11;97724004252;1,27587E+11;1,64658E+11;1,98737E+11;2,32557E+11;2,87531E+11;3,61558E+11;3,32976E+11;4,23627E+11;5,30163E+11;5,45982E+11;5,52025E+11;5,2632E+11;5,94749E+11;5,57531E+11;6,42696E+11;5,19872E+11;4,49663E+11
Armenia;GDP (current US$);954125102;995241525;998564574;1052458745;1140257849;1256482102;1284578548;1332540214;1340257448;1384520124;1452565874;1685485789;1784575856;1854754784;1977548521;1985241254;2003642157;2012541068;2056245874;2152470145;2256838858;2068526522;1272577456;1201313201;1315158670;1468317350;1596968913;1639492424;1893726437;1845482181;1911563665;2118467913;2376335048;2807061009;3576615240;4900469950;6384451606;9206301700;11662040714;8647936748;9260284938;10142111334;10619320049;11121465767;11609512940;10553337673;10546135160;11527458566;12457941907;13672802158
Aruba;GDP (current US$);198568958,9;201245786,2;215639852,2;245125236,8;254528965,3;264578568,8;263568965,2;245854785,2;275486254,3;289635421,5;295847512,5;315245785,2;336589457,5;352515478,7;365685478,1;395846525,2;405463417,1;487602457,7;596423607,1;695304363;764887117,2;872138715,1;958463184,4;1082979721;1245688268;1320474860;1379960894;1531944134;1665100559;1722798883;1873452514;1920111732;1941340782;2021229050;2228491620;2330726257;2424581006;2615083799;2745251397;2498882682;2390502793;2549720670;2534636872;2701675978;2765363128;2919553073;2965921788;3056424581;3125165214;3215254178
Australia;GDP (current US$);41271138985;45149512823;51967289720;63737347854;88831245394;97170558514;1,04921E+11;1,10202E+11;1,18339E+11;1,34712E+11;1,49775E+11;1,76642E+11;1,9377E+11;1,7703E+11;1,93242E+11;1,80235E+11;1,82037E+11;1,8906E+11;2,35659E+11;2,99268E+11;3,10777E+11;3,2531E+11;3,24879E+11;3,11544E+11;3,22212E+11;3,67216E+11;4,00303E+11;4,34568E+11;3,98899E+11;3,88608E+11;4,15223E+11;3,78376E+11;3,94649E+11;4,66488E+11;6,1249E+11;6,93408E+11;7,46054E+11;8,531E+11;1,054E+12;9,27805E+11;1,14614E+12;1,39665E+12;1,54615E+12;1,57618E+12;1,46748E+12;1,35169E+12;1,20885E+12;1,33014E+12;1,4339E+12;1,39268E+12
Austria;GDP (current US$);15373005769;17858485957;22059612417;29515467988;35189299985;40059206763;42959976068;51545759221;62052258694;73937296655;82058912465;71034228097;71275287328;72121016623;67985345162;69386774475;99036165210;1,24168E+11;1,33339E+11;1,33106E+11;1,66463E+11;1,73794E+11;1,95078E+11;1,9038E+11;2,03535E+11;2,41038E+11;2,37251E+11;2,1279E+11;2,1826E+11;2,17186E+11;1,968E+11;1,97338E+11;2,13378E+11;2,61696E+11;3,00904E+11;3,15974E+11;3,35999E+11;3,88691E+11;4,30294E+11;4,00172E+11;3,91893E+11;4,3112E+11;4,09425E+11;4,30069E+11;4,41996E+11;3,81818E+11;3,95228E+11;4,18316E+11;4,55508E+11;4,46315E+11
Azerbaijan;GDP (current US$);2985689584;3365895687;3458547524;3845268958;4025689587;4362568947;4478589685;4952362685;5125475120;5985647854;6253457418;6625847129;6859636525;7052845626;7215284796;7521638954;7748145214;7958562548;8025634785;8154256894;8858006036;8792365811;4991350458;3970953396;3313939554;3052467522;3176703092;3962735257;4446370371;4581246713;5272617196;5707720391;6235856820;7276013032;8680370408;13245716099;20982986344;33050343783;48852482960;44291490421;52902703376;65951627200;69683935845;74164435946;75244294275;53074370486;37867518957;40865558912;47112941176;48047647059
Bahrain;GDP (current US$);1698569562;1715258948;1785485623;19856969254;2152562565;2254857845;2563689854;2754855124;2845152568;2985696585;3072698328;3467819149;3645744681;3735106383;3905585106;3651861702;3052393617;3392021011;3702393617;3863563830;4229787234;4616223404;4751063830;5200265957;5567553457;5849467819;6101861436;6349202394;6183776596;6621010372;9062898936;8976196809;9593510638;11074813830;13150159574;15968723404;18504760638;21730000000;25710904255;22938218085;25713271277;28776595745;30749308511;32539468085;33387712766;31125851064;32250132979;35423643617;37652500000;38574069149
Bangladesh;GDP (current US$);8992721809;8751842840;6288245867;8086725729;12512460520;19448348073;10117113333;9651149302;13281767143;15565480322;18138049096;20249694002;18525399202;17609048822;18920840000;22278423077;21774033333;24298032258;26579005760;28781714764;31598341234;30957483950;31708874594;33166519418;33768660883;37939748769;46438484108;48244309133;49984559471;51270569884;53369787319;53991289844;54724081491;60158929188;65108544250;69442943089;71819083684;79611888213;91631278239;1,02478E+11;1,15279E+11;1,28638E+11;1,33356E+11;1,4999E+11;1,72885E+11;1,95079E+11;2,21415E+11;2,49711E+11;2,74039E+11;3,02571E+11
