,China,India,United States,Indonesia,Pakistan,Brazil,Nigeria,Bangladesh,Russian Federation,Mexico,Japan,Ethiopia,Philippines,"Egypt, Arab Rep.",Vietnam,"Congo, Dem. Rep.",Germany,Thailand,France,United Kingdom,Tanzania,South Africa,Italy,Kenya,Myanmar,"Korea, Rep.",Colombia,Spain,Uganda,Argentina,Canada,Poland,Morocco,Saudi Arabia,Uzbekistan,Angola,Peru,Australia,Ecuador,Netherlands,Senegal,Guatemala,Cuba,Uruguay,Finland,Singapore,Slovak Republic,Norway,Oman,Liberia,Costa Rica,Botswana,Chile
1960-01-01,59716467625.3148,37029883876.1839,543300000000.0,,3749265014.6997104,17030465539.3906,4196092258.15484,4274893913.4953604,,13040000000.0,44307342950.4,,7515886650.62035,,,3359404117.6470604,,2760747471.88624,62225478000.8822,73233967692.1028,,8748596504.23581,40385288344.1911,791265458.818076,,3958190758.62419,4031152976.63904,12072126075.397,423008385.74423504,,40461721692.6468,,2037150716.33238,,,,2571908062.08791,18606786874.23,2069465326.42335,12276734172.0828,1003692374.5621301,1043599900.0,,1242289239.20493,5224102195.52771,704756304.717104,,5163271598.157021,,,507513829.994855,30412308.986401197,4110000000.0
1961-01-01,50056868957.6732,39232435784.0358,563300000000.0,,4118647627.04746,17275940449.3837,4467200335.993279,4817580183.60155,,14160000000.0,53508617739.3778,,8171186334.65347,,,3086746857.14286,,3034043574.06071,67461644222.0352,77741965703.3544,,9225996313.47639,44842760293.1924,792959472.139024,584351384.464088,2417558289.36656,4540447761.19403,13834300571.4849,441524109.014675,,40934952063.9468,,2025689536.60705,,,,2899654840.37313,19683055213.3498,1753850416.7555099,13493833739.9949,1058975265.6057801,1076699900.0,,1547388781.43133,5921659485.03284,764634783.7449371,,5632460936.54576,,,490325181.614275,32902336.644746,4609727272.72727
1962-01-01,47209359005.6057,42161481858.0819,605100000000.0,,4310163796.724071,19231747851.5332,4909302953.94092,5081413339.78635,,15200000000.0,60723018683.7333,,4954529277.07288,,,3779841428.5714297,,3308912796.93487,75607529809.9288,81247564156.8246,,9813996078.52345,50383891898.9911,868111400.014073,612517344.7562151,2814318516.60968,4955543963.36869,16138545209.246,449012578.61635196,24450604877.4934,42227447631.9159,,2379606422.29029,,,,3286773187.87313,19922723709.262,1518208221.23969,14647057370.1418,1085475573.50828,1143600000.0,,1710004407.22785,6340580854.39073,826244609.95688,,6066976682.67364,,,479180824.348506,35643207.626524605,5416272727.27273
1963-01-01,50706799902.5104,48421923459.1235,638600000000.0,,4630827383.45233,23287712878.2002,5165489010.2198,5319458351.16235,,16960000000.0,69498131797.3333,,5505055617.583879,,,6213185742.57426,,3540403456.55305,84759195105.8693,86561961812.3249,,10854195662.8805,57710743059.8341,926589348.572953,659976659.599529,3988784572.24835,4836166666.66667,19074913947.7196,516147798.74213797,18272123664.3994,45029988561.2124,,2657247327.3392,,,,3600957771.15672,21539926083.548,1824344492.0834398,15891241386.291,1122139637.2651,1262800000.0,,1539681490.78174,6885920328.66187,917614007.578727,,6510239502.76489,,,511902136.80997306,38091150.566196,5668187500.0
1964-01-01,59708343488.5043,56480289940.9899,685800000000.0,,5204955900.88198,20963733694.9749,5552822483.55033,5386054619.349871,,20080000000.0,81749006381.5111,,5953766853.70844,,,2881545272.72727,,3889129942.3076897,94007851047.3678,94407558351.1616,,11955995222.6234,63175417019.0094,998759333.6433259,475197381.868256,3458939357.73377,5973366666.66667,21343844643.7341,589056603.773585,25605249381.7597,49377522896.702995,,2798339768.79755,,,,4356913870.14925,23801097547.3177,2244146867.90615,18699380731.3465,1188930567.7084,1299099900.0,,1975701816.46615,7766655085.78588,894159153.273226,,7159202706.48027,,,542578367.242598,41613969.0506064,5982347826.08696
1965-01-01,70436266146.7219,59554854575.8085,743700000000.0,,5929231415.37169,22465522884.0988,5874422511.54977,5906636557.00092,,21840000000.0,90950278257.7778,,6517304758.00675,4948667540.41066,,4043901818.1818204,,4388937649.03846,101537248148.42699,101824755078.991,,13068994777.8911,67978153850.5191,997919319.980049,402619413.64898396,3120833333.33333,5760761904.7619,24756958694.9238,884873949.5798321,28344705966.5801,54515179580.7148,,2948325264.30195,,,,5166861068.28358,25977153096.6514,2387048255.4517303,21000586933.2041,1210058396.05584,1331399900.0,,1890769326.1422102,8589340019.02985,974650463.8703779,,8058681060.159,63287594.51134139,,592981162.264151,45790869.747312605,6026593750.0
1966-01-01,76720285969.6157,45865462034.2857,815000000000.0,,6561108777.82444,28283323733.1114,6366792664.14672,6439687598.32325,,24320000000.0,105628070343.111,,7189017887.692309,5278005611.91453,,4532660181.81818,,5279230817.30769,110045852177.92801,108572752102.045,,14211394321.4111,73654870011.2757,1164519673.1976302,317816209.973753,3928908380.6294703,5428518518.51852,28721062242.1634,925770308.123249,28630474727.8546,61088384036.6515,,2876395613.0817103,,,,6113607727.98507,27309889125.322002,2429309513.80854,22867203317.4022,1246908373.7520301,1390700000.0,,1809183974.5266898,9208524504.87684,1096432771.46217,,8696460205.3397,67768132.17586109,,647305630.188679,51464435.1464435,7072641025.641029
1967-01-01,72881631326.6715,50134942204.0,861700000000.0,5667756644.9716,7464510709.7858,31086389194.961002,5203135937.28125,7253575399.3215,,26560000000.0,123781880217.6,,7724873935.128209,5605484298.98275,,3384063371.75792,,5638461442.30769,118972977486.20699,113116888210.78699,,15821393678.0875,81133120065.4202,1232559505.92359,328182434.544961,4855907141.80098,5825170438.48704,31647119228.1982,967647058.8235289,24256667553.2569,65668655501.1254,,3046339294.53611,,,,6204253758.60927,30444618658.3044,2553596091.82258,25087562181.3218,1246480958.52495,1453500000.0,,1597721080.0099099,9368954010.3132,1238043904.3512301,,9514496703.397621,107152720.243027,,699456618.867925,58646443.5146444,7013196078.431371
1968-01-01,70846535055.6503,53085455870.6667,942500000000.0,7076465295.27356,8041999160.0168,33930457425.2613,5200895982.08036,7483685473.51275,,29360000000.0,146601072685.511,,8632749269.487179,5932242990.65421,,3909780538.92216,,6081009427.88461,129785441507.456,107759910067.889,,17124793157.2752,87942231678.3505,1353295457.5261,531186357.40598094,6119284294.23459,5960212869.12968,31475548481.4095,1037815126.0504199,26436857247.4696,71829810519.8955,,3271415867.99723,4187777711.11111,,,5736083835.14212,32716989584.4999,2582180794.1855,27817605743.2503,1309384830.18783,1610500000.0,,1593675330.16467,8823033880.32993,1425715405.72325,,10159934136.7838,188864890.808735,,773841494.3396231,66248256.62482571,7167086956.521741
1969-01-01,79705906247.4612,58447995017.3333,1019900000000.0,8337423312.883441,8683116337.67325,37171640818.5863,6634187316.253671,8471006100.953991,,32480000000.0,172204199480.889,,9571800652.5641,6524455205.81114,,5032434970.059879,,6695336567.30769,141903068680.309,116464702803.218,,19256992305.291,97085082807.3751,1458379415.40278,551379225.912926,7678581343.697941,6450175213.749229,36038711599.541,1169047619.0476198,31256284543.5869,79148411661.6902,,3651615453.01848,4485777644.44444,,,6420909789.66408,36686079068.2047,3112166848.3004,34035946604.1815,1245234806.8899698,1715399900.0,,2004435483.87097,10070766720.5011,1659904612.57023,,11063065083.4888,239980801.535877,,853630203.773585,77356914.0788191,8377093023.25581
