,China,India,United States,Indonesia,Pakistan,Brazil,Nigeria,Bangladesh,Russian Federation,Mexico,Japan,Ethiopia,Philippines,"Egypt, Arab Rep.",Vietnam,"Congo, Dem. Rep.",Germany,Thailand,France,United Kingdom,Tanzania,South Africa,Italy,Kenya,Myanmar,"Korea, Rep.",Colombia,Spain,Uganda,Argentina,Canada,Poland,Morocco,Saudi Arabia,Uzbekistan,Angola,Peru,Australia,Ecuador,Netherlands,Senegal,Guatemala,Cuba,Uruguay,Finland,Singapore,Slovak Republic,Norway,Oman,Liberia,Costa Rica,Botswana,Chile
1960-01-01,89.52054151035841,82.1886027403956,3007.12344537862,,83.33794593040399,235.946883329958,92.96046560194651,89.0352394288932,,345.23054079861197,475.319075592173,,286.104330096758,,,220.313989852155,,100.76747498819,1334.68951190446,1397.5948032844,,511.618737409868,804.492623346178,97.44550102056549,,158.24930326982098,251.041522886697,396.39225333761397,62.5096253670313,,2259.29428549881,,164.800827026367,,,,253.26492133666,1810.6192301340302,455.46238876767404,1068.78458723735,312.992962847554,252.756171165062,,489.35072495475305,1179.3530109999401,428.058980027396,,1441.75566002633,,,381.363681787435,60.493957998383294,505.34932548775396
1961-01-01,75.8058379259965,85.3543009890781,3066.56286916615,,89.40903402536999,232.48054623082902,96.9790299795105,97.5952917047176,,363.39327089590205,568.907742697122,,300.842041562067,,,197.39135916041698,,107.498000971957,1428.04600063164,1472.3857140786802,,526.4617501348761,887.3367446044749,94.65129268153221,26.3083569147116,93.82864904660391,274.052264169385,450.053289246968,63.220967340338895,,2240.43303945853,,158.923583984375,,,,277.568763438381,1877.6166377325,375.22130462257,1159.39235716074,321.361239592927,253.22729003499802,,601.703002716251,1327.427224366,449.15107127874603,,1560.3249311723,,,355.00274880539297,64.1761395717201,555.134402585522
1962-01-01,70.90941166710071,89.8817564934251,3243.8430775498805,,91.319184879153,251.348317405138,104.38702854306,100.122129600152,,378.15349538968695,639.6407854353421,,176.460034845634,,,235.63352441259,,113.78284979854901,1578.2845377801502,1525.77585271032,,546.26193534789,990.26015216342,100.39449511103099,26.985919994067,106.14850572000601,289.917945751026,520.206131380005,62.2263145933461,1155.89071668715,2268.58534607907,,181.182647705078,,,,305.76161691734103,1854.6568338542102,315.68870401977796,1240.67789437294,320.501538916872,261.17913380611697,,656.713226833868,1411.70239818044,472.085824452565,,1667.2474297782,,,334.309248673039,68.05034895866869,638.945359978238
1963-01-01,74.3136434486145,101.12642944919901,3374.51517105082,,95.7033778155834,295.631970805808,107.54057258507099,101.901412511993,,409.04557006421203,724.693762224539,,189.746866022966,,,377.429878539264,,118.143906991999,1744.64012289392,1613.45688373392,,589.1604605486721,1126.01933699825,103.778721037772,28.449430495519902,146.314341932979,274.314957549389,609.487384056513,69.1735430061368,850.304578620878,2374.49844764883,,196.531280517578,,,,325.516339164406,1967.11653731032,368.62958370371695,1328.03664879968,322.300733290872,280.096636444858,,584.2916335208901,1522.3192420995001,511.205575252773,,1775.5826554497896,,,344.354656780256,71.10643908476509,655.2522487425421
1964-01-01,85.4985551596313,115.53749607501301,3573.94118474743,,104.880217633675,258.605370728102,113.168716605965,100.221104183654,,469.47613687632895,843.6168785436071,,198.73256974541098,,,170.467004976226,,125.938694169401,1909.54162026244,1748.2881176141,,632.716104447702,1222.5445404629,108.29368839849899,20.0354873723771,123.603494825331,328.655032086694,675.241639141208,76.3114862201157,1173.23810525517,2555.11114601309,,201.26197814941398,,,,382.74396480242996,2131.37794817925,440.560234209217,1541.94736519029,332.081155349151,279.930464500156,,741.244997985711,1707.50393824701,485.533858206574,,1937.88461385928,,,352.33688492332703,75.9559184671664,678.12810640018
1965-01-01,98.48677775222059,119.318916257524,3827.52710972039,,116.44672466593,269.45628997272803,117.188634827652,106.64664438536501,,494.97026133002,928.518848597045,,210.847796523783,162.60847230990498,,232.811127800512,,137.91864667231002,2038.16310215841,1873.5677743542103,,674.186432607333,1304.45381661965,104.711673869592,16.5964592649938,108.72213122271799,307.646860038546,774.761609330096,110.802288985464,1279.1137784785801,2770.3618040814504,,206.449020385742,,,,441.18211195240195,2281.09879668523,455.19781834632005,1708.09635648862,328.563169209696,278.828138481721,,701.704718154626,1882.08685764849,516.5353033390099,,2164.46882336736,101.25917913002701,,372.28057805405405,81.7699943344463,670.395685818079
1966-01-01,104.324566181147,89.9973043744548,4146.31664631665,,125.546992015402,330.040585940268,124.307792527789,112.66536475271299,,534.273631491705,1068.55843990563,,225.614436516631,168.96324041553302,,253.759208730228,,161.005521595517,2186.4745917492,1986.74715869685,,714.562009747111,1402.44235441032,118.207910365875,12.8028124617684,133.474848530354,281.566048500385,889.6598720115289,112.03215371760099,1272.80320400797,3047.1061470795803,,196.314453125,,,,507.530953196241,2343.99529013149,449.92020699406896,1835.8014235103399,329.053313391297,283.192724592174,,664.439841081964,2010.21345619725,566.807677554886,,2317.1948838265603,105.556687350545,,393.480684289771,89.9795529147183,772.725716153161
1967-01-01,96.5895319417819,96.33913646486981,4336.42658722171,53.5372956830802,139.11847507259,353.110710623409,99.4060787604039,122.870628479594,,565.633408898776,1239.31837741267,,235.342462691996,174.862609761112,,184.13043916017202,,166.923063418933,2343.10450260677,2058.7818819805602,,775.297686767805,1533.69287748547,120.98759055335199,12.9154560059164,161.15993101854602,293.644264112561,968.3067817659829,113.16921774161999,1062.54341227446,3217.1592936079496,,202.857269287109,,,,500.87348622826,2580.2710957118697,459.278798776653,1991.36068565042,319.639351686344,287.968047136813,,580.970258805948,2034.1890496547799,626.033527685697,,2514.04377214705,162.323830840634,,412.235106379122,100.40514351126801,753.1279578809281
1968-01-01,91.4727183066072,99.8759627217279,4695.92339043178,65.05304384260721,145.945672707028,375.39057352723296,97.2017426929705,122.847597531085,,606.2111327247039,1451.33770268101,,255.44303638262403,180.41085370295502,,206.714951094744,,174.784753754061,2536.08511406552,1951.7585958753198,,817.7190790072839,1651.9393767975598,128.397262018686,20.4182770493087,198.431298008386,292.257496192437,950.545740593734,117.38455084950701,1141.08043153979,3462.67887195794,,212.75085449218798,777.267272584564,,,450.4014674536,2724.3725193188397,450.999551509643,2185.24865888657,326.195796521574,310.661745203358,,574.346882547604,1907.07727217667,708.6060664628461,,2662.11749153117,277.909232022648,,442.779608706134,110.97864233084,756.912000888148
1969-01-01,100.12990326618,107.62231842422399,5032.14474262003,74.6020963877027,153.4169693622,400.78706942439794,121.24537296755301,135.147381311241,,650.31172716668,1684.6594026637802,,275.159996208971,193.58604932447798,,258.606476692633,,186.879167529008,2752.09511423516,2100.66786858672,,895.837603157368,1813.3881257570602,133.665345917836,20.700641598133398,243.42241292594798,307.99521019573103,1077.67869994591,128.074735964541,1329.0585461877802,3763.9533793841706,,232.125915527344,801.044739199234,,,490.41360370878,2991.60719792911,527.900353006021,2642.95611830093,301.267165818592,322.437529369749,,717.14094799853,2178.03525044982,812.6827968520121,,2875.2358439685804,342.47501021924,,474.795303927538,126.54554836490101,870.3198385480409
