,China,India,United States,Indonesia,Pakistan,Brazil,Nigeria,Bangladesh,Russian Federation,Mexico,Japan,Ethiopia,Philippines,"Egypt, Arab Rep.",Vietnam,"Congo, Dem. Rep.",Germany,Thailand,France,United Kingdom,Tanzania,South Africa,Italy,Kenya,Myanmar,"Korea, Rep.",Colombia,Spain,Uganda,Argentina,Canada,Poland,Morocco,Saudi Arabia,Uzbekistan,Angola,Peru,Australia,Ecuador,Netherlands,Senegal,Guatemala,Cuba,Uruguay,Finland,Singapore,Slovak Republic,Norway,Oman,Liberia,Costa Rica,Botswana,Chile
1960-01-01,667070000.0,450547675.0,180671000.0,87751066.0,44988690.0,72179235.0,45138460.0,48013505.0,119897000.0,37771861.0,93216000.0,22151284.0,26269741.0,26632891.0,32670048.0,15248256.0,72814900.0,27397208.0,46621688.0,52400000.0,10052151.0,17099836.0,50199700.0,8120082.0,21736947.0,25012374.0,16057714.0,30455000.0,6767092.0,20481781.0,17909009.0,29637450.0,12328532.0,4086534.0,8526299.0,5454938.0,10155011.0,10276477.0,4543658.0,11486631.0,3206757.0,4128880.0,7141241.0,2538648.0,4429634.0,1646400.0,4068095.0,3581239.0,551735.0,1118655.0,1330787.0,502733.0,8132988.0
1961-01-01,660330000.0,459642166.0,183691000.0,90098396.0,46065229.0,74311338.0,46063570.0,49362834.0,121236000.0,38966049.0,94055000.0,22671193.0,27161052.0,27366239.0,33666111.0,15637700.0,73377632.0,28224186.0,47240526.0,52800000.0,10346695.0,17524533.0,50536350.0,8377693.0,22211626.0,25765673.0,16567817.0,30739250.0,6983824.0,20817270.0,18271000.0,29964000.0,12710587.0,4218852.0,8813619.0,5531451.0,10446618.0,10483000.0,4674176.0,11638712.0,3295280.0,4251911.0,7291201.0,2571682.0,4461005.0,1702400.0,4191667.0,3609800.0,564891.0,1142304.0,1381187.0,512688.0,8303804.0
1962-01-01,665770000.0,469077191.0,186538000.0,92518373.0,47198886.0,76514329.0,47029818.0,50752150.0,122591000.0,40195318.0,94933000.0,23221385.0,28077345.0,28112258.0,34683410.0,16041187.0,74025784.0,29080945.0,47904879.0,53250000.0,10651954.0,17965733.0,50879450.0,8647002.0,22697664.0,26513030.0,17092919.0,31023366.0,7215799.0,21153042.0,18614000.0,30308500.0,13094890.0,4362788.0,9113629.0,5608499.0,10749463.0,10742000.0,4809194.0,11805689.0,3386803.0,4378604.0,7453535.0,2603883.0,4491443.0,1750200.0,4238188.0,3638918.0,578827.0,1166651.0,1433346.0,523777.0,8476895.0
1963-01-01,682335000.0,478825602.0,189242000.0,95015295.0,48387293.0,78772647.0,48032932.0,52202008.0,123960000.0,41462373.0,95900000.0,23798418.0,29012630.0,28871383.0,35721213.0,16461828.0,74714353.0,29966873.0,48582624.0,53650000.0,10968196.0,18423157.0,51252000.0,8928510.0,23198238.0,27261747.0,17629978.0,31296651.0,7461636.0,21488916.0,18964000.0,30712000.0,13478425.0,4516540.0,9428906.0,5679409.0,11062295.0,10950000.0,4948991.0,11965966.0,3481654.0,4508444.0,7623300.0,2635125.0,4523309.0,1795000.0,4282017.0,3666537.0,593498.0,1191796.0,1486555.0,535692.0,8650390.0
1964-01-01,698355000.0,488848139.0,191889000.0,97596728.0,49627623.0,81064572.0,49066762.0,53741721.0,125345000.0,42771077.0,96903000.0,24397010.0,29958687.0,29644875.0,36780001.0,16903830.0,75318337.0,30881136.0,49230585.0,54000000.0,11295675.0,18896303.0,51675350.0,9222692.0,23717785.0,27984155.0,18175187.0,31609195.0,7719108.0,21824427.0,19325000.0,31139450.0,13857656.0,4677304.0,9762819.0,5734995.0,11383364.0,11167000.0,5093848.0,12127120.0,3580241.0,4640795.0,7793258.0,2665383.0,4548543.0,1841600.0,4327341.0,3694339.0,608890.0,1217905.0,1539942.0,547870.0,8821855.0
1965-01-01,715185000.0,499123328.0,194303000.0,100267070.0,50917975.0,83373533.0,50127920.0,55385114.0,126745000.0,44123863.0,97952000.0,25013634.0,30909997.0,30433024.0,37858947.0,17369882.0,75963695.0,31822656.0,49818019.0,54348050.0,11634837.0,19384838.0,52112350.0,9530163.0,24259356.0,28704674.0,18725242.0,31954292.0,7986062.0,22159644.0,19678000.0,31444950.0,14230163.0,4843632.0,10116870.0,5770573.0,11711402.0,11388000.0,5243980.0,12294732.0,3682879.0,4774984.0,7958171.0,2694537.0,4563732.0,1886900.0,4370983.0,3723168.0,625006.0,1245104.0,1592834.0,559996.0,8989607.0
1966-01-01,735400000.0,509631509.0,196560000.0,103025423.0,52260183.0,85696502.0,51217969.0,57157651.0,127468000.0,45519746.0,98851000.0,25641040.0,31864175.0,31237597.0,38958046.0,17862052.0,76600311.0,32789129.0,50330268.0,54648500.0,11985442.0,19888259.0,52519000.0,9851453.0,24823937.0,29435571.0,19279734.0,32283194.0,8263434.0,22494031.0,20048000.0,31681000.0,14595351.0,5015353.0,10493441.0,5781305.0,12045783.0,11651000.0,5399423.0,12456251.0,3789381.0,4910790.0,8115487.0,2722871.0,4580869.0,1934400.0,4411666.0,3753012.0,642007.0,1273458.0,1645076.0,571957.0,9152848.0
1967-01-01,754550000.0,520400577.0,198712000.0,105865576.0,53655783.0,88035815.0,52342231.0,59034250.0,128196000.0,46956208.0,99879000.0,26280135.0,32823970.0,32056506.0,40072951.0,18378620.0,76951336.0,33778804.0,50775788.0,54943600.0,12348188.0,20406863.0,52900500.0,10187487.0,25410054.0,30130983.0,19837508.0,32682947.0,8550444.0,22828872.0,20412000.0,31987155.0,14954037.0,5195124.0,10889499.0,5774440.0,12386868.0,11799000.0,5560013.0,12598201.0,3899648.0,5047435.0,8266373.0,2750091.0,4605744.0,1977600.0,4449367.0,3784539.0,660117.0,1303032.0,1696742.0,584098.0,9312091.0
1968-01-01,774510000.0,531513834.0,200706000.0,108779926.0,55102690.0,90387079.0,53506201.0,60918452.0,128928000.0,48431971.0,101011000.0,26944386.0,33795203.0,32881852.0,41193588.0,18913874.0,77294314.0,34791418.0,51175507.0,55211700.0,12725519.0,20942147.0,53235750.0,10539909.0,26015239.0,30838302.0,20393704.0,33113134.0,8841156.0,23168268.0,20744000.0,32294655.0,15307267.0,5387822.0,11294666.0,5771973.0,12735491.0,12009000.0,5725462.0,12729721.0,4014107.0,5184095.0,8413549.0,2774761.0,4626469.0,2012000.0,4483915.0,3816486.0,679592.0,1333980.0,1747690.0,596946.0,9468851.0
1969-01-01,796025000.0,543084333.0,202677000.0,111758566.0,56598148.0,92746607.0,54717035.0,62679765.0,129664000.0,49945278.0,102219000.0,27652715.0,34786309.0,33703127.0,42307149.0,19459818.0,77909682.0,35827089.0,51561833.0,55441750.0,13120587.0,21496075.0,53537950.0,10910677.0,26635852.0,31544266.0,20942453.0,33441054.0,9127855.0,23517613.0,21028000.0,32548300.0,15656846.0,5599909.0,11694843.0,5803677.0,13092846.0,12263000.0,5895368.0,12877984.0,4133324.0,5320100.0,8561391.0,2795037.0,4623785.0,2042500.0,4518607.0,3847707.0,700725.0,1366500.0,1797891.0,611297.0,9625304.0
1970-01-01,818315000.0,555189797.0,205052000.0,114793179.0,58142062.0,95113265.0,55982142.0,64232486.0,130404000.0,51493565.0,103403000.0,28415080.0,35803591.0,34513851.0,43404802.0,20011033.0,78169289.0,36884525.0,51957747.0,55663250.0,13535487.0,22069783.0,53821850.0,11301394.0,27269063.0,32240827.0,21480064.0,33814531.0,9405606.0,23880564.0,21324000.0,32664300.0,16004732.0,5836388.0,12080311.0,5890360.0,13459789.0,12507000.0,6069375.0,13038526.0,4257508.0,5455197.0,8712535.0,2809799.0,4606307.0,2074507.0,4538223.0,3875763.0,723842.0,1400730.0,1847394.0,627714.0,9783134.0
1971-01-01,841105000.0,567868021.0,207661000.0,117880146.0,59734479.0,97482928.0,57296988.0,65531635.0,131155000.0,53076366.0,105697000.0,29248650.0,36849678.0,35311905.0,44484032.0,20564062.0,78312842.0,37963280.0,52371320.0,55896223.0,13971698.0,22665265.0,54073490.0,11713046.0,27913749.0,32882704.0,22003983.0,34224490.0,9671856.0,24259564.0,21962032.0,32783500.0,16350883.0,6100631.0,12446444.0,6041239.0,13836365.0,12937000.0,6247421.0,13194497.0,4387532.0,5589563.0,8868087.0,2818283.0,4612124.0,2112900.0,4557449.0,3903039.0,748968.0,1436740.0,1896074.0,646350.0,9942716.0
1972-01-01,862030000.0,581087255.0,209896000.0,121017316.0,61381982.0,99859388.0,58665813.0,66625706.0,131909000.0,54689944.0,107188000.0,30140799.0,37923400.0,36102670.0,45548476.0,21121360.0,78688452.0,39058594.0,52793151.0,56086065.0,14428340.0,23281517.0,54381345.0,12146070.0,28570093.0,33505406.0,22516429.0,34604469.0,9929644.0,24653172.0,22218463.0,33055650.0,16696890.0,6392973.0,12796982.0,6248965.0,14221954.0,13177000.0,6429377.0,13328593.0,4522886.0,5723759.0,9025347.0,2821458.0,4639657.0,2152400.0,4596622.0,3933004.0,776385.0,1474567.0,1944170.0,667096.0,10103675.0
1973-01-01,881940000.0,594770136.0,211909000.0,124199693.0,63099404.0,102259497.0,60114615.0,67637541.0,132669000.0,56324310.0,108707000.0,31036670.0,39022759.0,36896551.0,46603522.0,21690448.0,78936666.0,40159581.0,53207744.0,56194527.0,14902271.0,23913090.0,54751406.0,12600799.0,29238168.0,34103149.0,23024512.0,34988947.0,10186452.0,25056475.0,22491777.0,33357200.0,17048525.0,6711922.0,13140797.0,6497283.0,14615847.0,13380000.0,6614840.0,13439322.0,4660726.0,5858466.0,9178809.0,2822112.0,4666081.0,2193000.0,4641445.0,3960612.0,806985.0,1514364.0,1992522.0,689906.0,10265827.0
1974-01-01,900350000.0,608802595.0,213854000.0,127422198.0,64905996.0,104706193.0,61677167.0,68742222.0,133432000.0,57966812.0,110162000.0,31861353.0,40144250.0,37708144.0,47657554.0,22282127.0,78967433.0,41252320.0,53592235.0,56229974.0,15388933.0,24552540.0,55110868.0,13077341.0,29918469.0,34692266.0,23538390.0,35373335.0,10453029.0,25462305.0,22807969.0,33678899.0,17413149.0,7054532.0,13491114.0,6761623.0,15017060.0,13723000.0,6803271.0,13545056.0,4797188.0,5994300.0,9320943.0,2824095.0,4690574.0,2229800.0,4689623.0,3985258.0,841952.0,1556288.0,2042242.0,714701.0,10428803.0
